iid,airline,origin,aircraft,impact,flight_date,damage,num_birds,bird_size,sky_conditions,altitude_ft,heavy_flag
219731,SOUTHWEST AIRLINES,Illinois,B-737-300,None,9/27/02 0:00,No damage,1,Small,No Cloud,"1,200",Yes
213911,AMERICAN EAGLE AIRLINES,Texas,SAAB-340,None,9/28/02 0:00,No damage,1,Small,No Cloud,500,No
216099,BUSINESS,Florida,C-172,Precautionary Landing,9/28/02 0:00,No damage,1,Small,Some Cloud,700,No
217114,BUSINESS,New Mexico,CITATION II,None,9/28/02 0:00,Caused damage,1,Medium,Some Cloud,300,No
214225,US AIRWAYS*,DC,A-320,None,9/28/02 0:00,No damage,1,Small,Some Cloud,50,No
218411,US AIRWAYS*,Pennsylvania,B-737-300,None,9/28/02 0:00,No damage,1,Large,No Cloud,400,Yes
218096,US AIRWAYS*,Pennsylvania,A-320,None,9/28/02 0:00,No damage,1,Large,No Cloud,600,No
218443,CONTINENTAL AIRLINES,New York,B-737-300,Precautionary Landing,9/28/02 0:00,Caused damage,1,Large,Some Cloud,"1,500",Yes
220938,ABX AIR,Ohio,B-767-200,None,9/28/02 0:00,No damage,1,Medium,No Cloud,"3,400",Yes
217431,PRIVATELY OWNED,California,C-152,Precautionary Landing,9/29/02 0:00,No damage,1,Small,Some Cloud,200,No
215449,GREAT LAKES AIRLINES,Wyoming,BE-1900,None,9/29/02 0:00,No damage,1,Small,No Cloud,5,No
215020,US AIRWAYS*,Pennsylvania,B-737-300,None,9/29/02 0:00,No damage,1,Small,No Cloud,75,Yes
219913,SOUTHWEST AIRLINES,Arizona,B-737-700,None,9/29/02 0:00,No damage,1,Small,No Cloud,300,Yes
217125,US AIRWAYS*,North Carolina,B-737-300,None,9/29/02 0:00,No damage,1,Small,No Cloud,"1,500",Yes
216380,BUSINESS,New Jersey,GULFAERO IV,None,9/29/02 0:00,No damage,1,Small,No Cloud,0,No
217746,BUSINESS,Alabama,BE-300 KING,Aborted Take-off,9/30/02 0:00,No damage,1,Small,Overcast,0,No
214031,BUSINESS,Georgia,CL-RJ100/200,None,9/30/02 0:00,No damage,1,Medium,No Cloud,500,No
210158,PRIVATELY OWNED,Colorado,MOONEY-20J,Precautionary Landing,9/30/02 0:00,No damage,1,Small,No Cloud,"1,300",No
216992,BUSINESS,Illinois,DA-50 FALCON,None,9/30/02 0:00,Caused damage,1,Medium,No Cloud,"4,000",No
216452,UNITED AIRLINES,DC,A-320,None,9/30/02 0:00,No damage,1,Small,No Cloud,200,No
216507,US AIRWAYS*,Georgia,B-737-300,None,10/1/02 0:00,No damage,1,Small,Some Cloud,400,Yes
212018,AMERICAN EAGLE AIRLINES,Florida,ATR-72,None,10/1/02 0:00,No damage,1,Medium,Some Cloud,"1,500",No
216771,ATLANTIC SOUTHEAST,Virginia,CL-RJ100/200,None,10/1/02 0:00,No damage,1,Small,No Cloud,"3,800",No
213563,GREAT LAKES AIRLINES,Wyoming,BE-1900,Precautionary Landing,10/1/02 0:00,No damage,1,Small,No Cloud,0,No
217161,AMERICAN EAGLE AIRLINES,Illinois,EMB-145,None,10/2/02 0:00,No damage,1,Medium,Overcast,700,No
215704,AMERICAN EAGLE AIRLINES,Texas,SAAB-340,None,10/2/02 0:00,No damage,1,Small,Overcast,0,No
220452,BUSINESS,Nebraska,LEARJET-31,None,10/2/02 0:00,No damage,1,Small,Overcast,30,No
211139,SKYWEST AIRLINES,Utah,EMB-120,None,10/2/02 0:00,No damage,1,Small,No Cloud,0,No
216508,AMERICAN AIRLINES,New York,B-767-200,None,10/2/02 0:00,No damage,1,Medium,No Cloud,"9,000",Yes
220088,SOUTHWEST AIRLINES,California,B-737,None,10/2/02 0:00,No damage,1,Small,No Cloud,0,Yes
212163,AIR WISCONSIN AIRLINES,Missouri,CL-RJ100/200,None,10/3/02 0:00,No damage,1,Small,Some Cloud,0,No
213109,BUSINESS,Indiana,SAAB-340,None,10/3/02 0:00,No damage,1,Small,No Cloud,0,No
212164,AMERICAN AIRLINES,California,B-767-200,None,10/3/02 0:00,No damage,1,Medium,No Cloud,"10,000",Yes
221113,PIEDMONT AIRLINES,New York,DHC8 DASH 8,None,10/3/02 0:00,No damage,1,Large,Overcast,"3,000",No
216114,SOUTHWEST AIRLINES,Maryland,B-737-700,Other,10/3/02 0:00,Caused damage,1,Large,Some Cloud,"3,000",Yes
5732,MILITARY,Texas,T-38A,Precautionary Landing,10/3/02 0:00,No damage,1,Medium,No Cloud,10,No
214799,ABX AIR,North Carolina,DC-9-40,None,10/3/02 0:00,No damage,1,Medium,No Cloud,"6,800",No
216316,ABX AIR,Indiana,DC-9-10,None,10/3/02 0:00,No damage,1,Small,Some Cloud,"1,600",No
215344,HAWAIIAN AIR,Hawaii,B-717-200,None,10/4/02 0:00,No damage,1,Small,Some Cloud,5,No
210732,SOUTHWEST AIRLINES,Texas,B-737-700,None,10/4/02 0:00,No damage,1,Small,No Cloud,"4,000",Yes
217562,AMERICAN EAGLE AIRLINES,Massachusetts,EMB-135,None,10/4/02 0:00,No damage,1,Small,Some Cloud,400,No
